author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,sum
Xiaoheng Huang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Eric Ruike Zhao,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Keshav K Singh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Magnus Holm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Paulo S Boggio,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Daniel S Pilch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Xiaobing Fu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
K Bailey Freund,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jingjing Xu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Brian J Zeberl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Hei-Tung Yip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Weiwang Gu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Chen-Ho Tung,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Jin-Lin Wang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Peijie Ong,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Shujie Song,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Xinghua Shao,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Jin-Qiu Zhao,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Luc&#xed;a Barbier-Torres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Takako Okamoto,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Tomohisa Matsunaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Fran Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Laura M Raffield,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Miranda R Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
J&#xf8;rn Olsen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sarah R Wellik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Yi-Cheng Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Jia-Lin Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Yuanying Gong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Yvette W Ruiz,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Jingping Liu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Vassiliki Saloura,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Chun-Ling Sun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Yutian Zeng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Guizhen Sun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Steven J Norris,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jiwen Li,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Francesca Nadalin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Zhuyuan Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Eva Leslie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Mowei Zhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Marian Blanca Ramirez,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Alice A Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Dennis R Warner,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Dayuan Xue,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Guangping Chen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Changchun Cao,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Chenyi Lei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Yunzhu Qian,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Yinan Xuan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
David Gazzola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Shirlee Shril,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Shun Yao,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shanzhou Niu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Haijun Li,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Claudia Perez-Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Emily P Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Chaoqun Yin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Julio D C Maia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Xiali Zhong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Diana Murray,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Sergei V Krivov,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Lauren P Floyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Moshe Levi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Meihui Yi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Zhengqiang Zhang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Lingyi Tang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Andrea Oneglia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Xuesen Zhang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Xuenong Zou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sung-Hwan Cho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Yu Winston Wang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Stephen R Farmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Nilanjan Chatterjee,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Kelsey Douthitt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jeffrey B Warner,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Meagen Rosenthal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Qiang Zhao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Saiuj Bhat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Shohei Eto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Yajing Pan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Tyler Nicholas Meyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Kai Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Xiaoli Hou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Marvin Korff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Y Alan Wang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Gregory D Kirk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Eric P Schultz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Hong-Guang Nie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Jon Odorico,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
William Richards,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Lanikea B King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Leah Ye,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Vladimir Potapov,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jeffrey C Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Neelakantan Vasudevan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Neha Garg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Patrick C Bradshaw,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Chang Dou,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Clara H Jeong,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Shuye Zhang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ravi Shridhar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Terry E Goldberg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
John A Gilleran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Jason G Knott,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Raphael Kopan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Eun-Seok Shin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Xinhong Chen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Michael D Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mike Conway,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Lyuba Varticovski,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
You-Cui Wang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Fubao Ma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Christopher A Trickett,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Peng Bai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Xiaofeng Dai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Vivian W Y Lui,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Michael D Morris,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Albert W Cheng,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Agnes B Fogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Feifei Liu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Wil Lieberman-Cribbin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Benito J Mari&#xf1;as,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Thomas J Webster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Alexandra Praggastis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Haidong Guo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Jose C Zepeda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Qingyao Liu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Huaxiu Luo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Thomas A Ficht,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Elliot S Gershon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Marie H Abildgaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Rimei Chen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Hiroshi Kawaguchi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Keerati Ponpetch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Zhanghua Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Ram Prasad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Philip Houtz,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mark A Laurie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Yuxing Guo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Yanqin Yang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Wenji Yuan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Leon G Leanse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Xiulong Xu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Yihao Guo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Matthew B Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Guo-Jun Chen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Chunming Lu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Emily Booth Warren,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mimi Ton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Xiaojie Xu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Ray A Bressan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Tae Dong Kweon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Aida Mohand Oussaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
David T J Broderick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tara V Anand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Yen Chou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Xiao-Ting He,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Mingfu Wu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Meijie Li,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Ganlin Qu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Song Cui,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Edith A Perez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Huiyi Yang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Yong-Liang Lou,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Soyon Kim,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Keyume Ablajan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Guoping Zhang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Fei Huang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Richard J Deckelbaum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Hideki Nakanishi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tiange Liu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Tomomi Hirata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Elena Rustchenko,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Nancy L Saccone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Dalin Zhang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Katherine Fischer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
X L Lu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Matthias Evert,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jian-Xun Zhu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Qiaozhu Mei,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Kirsten C Odegard,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Wei Bo Li,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Yonghua Ruan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Haili Yu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Lan Wei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Alvin F A Ang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Mandy L Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Yukikazu Iwasa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Hiroto Inaba,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kristen L Lauing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
James C K Lai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Jixuan Ma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Yun Xia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Shu Li,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Julio Pow-Sang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Wenhao Wang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Barbara E K Klein,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Xiaoju Men,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Xuhua Guan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Patrick Ho Yu Chung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Hsuan-Ju Chen,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Zhi J Lu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Xiang-Yang Lou,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Youxin Guan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Kerong Peng,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Yibin Ying,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Val&#xe9;rie Polonais,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Claire Gibson,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Sabine M Lang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Julian Nicenboim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Pan Ke Wang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Jianrong Xu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jianyu Ren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Michael R Pinsky,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Zhiyuan Fan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Marian Difiglia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Kenneth Pham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Amir K Miri,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sook-San Wong,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Gr&#xe9;gory Operto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Minhui Liu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Samuel W Workman,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Alexei Yeliseev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Andrew Douglas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
David T White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Xin Jun Wu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Angela Luo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Zhao-Zhao Zhou,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Ziwei Lv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Daniel M C Schwarz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Shaopeng Xu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sammi Kile,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Linfeng Zheng,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Yuyang Tian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Mingliang Ye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Dan Ding,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Lan Mi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Anisa Gumerova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Jianxi Zhu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shujuan Yan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Therese Dj&#xe4;rv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Katalin Erd&#xe9;lyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Kenrick Ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Yanfei Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Henry C Tseng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Jing Zhong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shao-Peng Jiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Carol A Mathews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Ali Bahrami Rad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Xingya Xue,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Rudolf Lucas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Andrey N Kuzmin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Xiaopeng Zhu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Jie Tong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Alan Sang,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Wan-Rong Yi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
A D Lane,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Bibhash C Paria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
W Art Chaovalitwongse,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Caifang Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Caijun Yang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Chenxing Liu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Grigorios Raptopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Xinying Jing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Celene H Chang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Foyez Mahmud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
George Fytas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Stacey L Harper,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Divakar Gupta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Guoli Huai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Shalaka Wahane,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Samuel M Cohen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Konstantinos Sidiropoulos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Zhongbao Zuo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Kyle B LaPenna,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Woonghee Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Justin Steggerda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Liyu Chen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Kenneth J Pienta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Deng-Hui Bao,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Haoxin Zheng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ren&#xe9; Freichel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Lesley Everett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Wei Mu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Fahui Wang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Aed&#xed;n Cassidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Yueying Li,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Paola Massari,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Kayleigh Slater,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Guanguan Li,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Cristina Di Carluccio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Dongfeng Zhou,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
