author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,sum
Yunxiang Sun,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,3,6,1,19
Fei Wang,0,0,0,0,0,0,0,1,4,3,2,1,1,3,3,1,0,0,19
Dawei Jiang,0,0,0,0,0,0,0,0,0,0,6,4,5,2,0,1,0,0,18
Min Li,0,0,0,0,0,0,0,1,6,0,2,2,1,2,2,1,1,0,18
Hari Shanker Sharma,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,8,0,18
Jie Wang,0,0,0,0,0,0,0,0,1,1,5,1,4,2,0,3,1,0,18
Aruna Sharma,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,8,0,18
Tao Wang,0,0,0,0,0,0,0,0,4,0,1,1,3,4,2,2,1,0,18
Xin Chen,0,0,0,0,0,0,1,4,1,1,3,0,0,3,2,2,1,0,18
Jie Zhang,0,0,0,0,0,0,0,2,0,1,1,2,2,1,3,2,3,1,18
Yang Wang,0,0,0,0,0,0,0,1,1,4,1,2,0,2,0,7,0,0,18
Ye Zhu,0,0,0,0,0,0,0,1,7,3,0,5,2,0,0,0,0,0,18
Jing Liu,0,0,0,0,0,0,0,0,0,2,0,4,5,3,3,0,0,1,18
Li Wang,0,0,0,0,0,0,1,2,0,2,3,1,2,1,4,1,1,0,18
Jie Li,0,0,0,0,0,0,0,1,2,0,2,0,0,5,3,2,2,0,17
Lu Wang,0,0,0,0,0,0,0,0,2,1,3,0,0,0,8,1,2,0,17
Song Li,0,0,0,0,0,0,0,1,1,2,9,2,0,2,0,0,0,0,17
C Yan Cheng,0,0,0,0,0,0,0,3,0,4,0,6,1,2,0,1,0,0,17
Jian Wang,0,0,0,0,0,0,0,5,1,1,0,1,1,2,2,4,0,0,17
Z Ryan Tian,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,8,0,17
Heng Wang,0,0,0,0,0,0,0,0,0,0,1,7,7,2,0,0,0,0,17
Ruth Nussinov,0,0,0,0,0,0,0,2,1,4,2,3,1,2,1,1,0,0,17
Lianyuan Feng,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,8,0,16
Chen Chen,0,0,0,0,0,0,0,0,5,0,1,3,1,0,2,1,3,0,16
Dafin F Muresanu,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,8,0,16
Tian Xia,0,0,0,0,0,0,0,1,2,3,2,2,1,1,1,3,0,0,16
Jing Chen,0,0,0,0,0,0,0,5,0,0,0,3,2,1,3,2,0,0,16
Dan Wu,0,0,0,0,0,0,0,2,2,1,0,2,3,1,1,1,3,0,16
Jun Wang,0,0,0,0,0,0,0,2,2,3,0,0,2,1,1,3,2,0,16
Benjamin J Cowling,0,0,0,0,0,0,0,2,1,2,0,0,0,8,3,0,0,0,16
Jos&#xe9; Vicente Lafuente,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,8,0,16
Xin Zhang,0,0,0,0,0,0,1,0,0,2,2,3,2,2,2,1,1,0,16
Tianming Liu,0,0,0,0,0,0,1,1,3,0,1,3,3,1,0,0,2,1,16
Pei Wang,0,0,0,0,0,0,0,0,2,2,1,5,4,1,1,0,0,0,16
Min Wu,0,0,0,0,0,0,0,1,2,6,1,1,0,3,0,1,1,0,16
Feng Gao,0,0,0,0,0,0,0,1,1,0,3,4,3,0,1,3,0,0,16
Shougang Zhuang,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,5,3,0,16
Li Huang,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,2,1,0,16
Wei Zhou,0,0,0,0,0,0,0,0,1,1,2,2,5,2,2,1,0,0,16
Yu Chen,0,0,0,0,0,0,0,0,1,2,2,2,2,0,4,1,1,1,16
Min Zhang,0,0,0,0,0,0,1,2,3,1,2,1,1,0,0,0,5,0,16
Dan Li,0,0,0,0,0,0,0,0,0,3,2,4,3,1,1,1,0,1,16
Jianfeng Cai,0,0,0,0,0,0,0,0,0,1,4,1,0,6,2,1,1,0,16
Peng Huang,0,0,0,0,0,0,0,1,3,2,4,2,1,2,0,0,0,1,16
Steven H Liang,0,0,0,0,0,0,0,0,1,0,3,1,4,2,3,0,2,0,16
Jun Liu,0,0,0,0,0,0,0,2,4,0,1,2,2,2,1,0,0,1,15
Yang Hu,0,0,0,0,0,0,0,0,1,2,4,1,1,1,2,1,2,0,15
Rui Chen,0,0,0,0,0,0,0,3,2,2,1,0,1,1,1,2,1,1,15
Yuan Liu,0,0,0,0,0,0,0,1,4,0,3,2,1,0,1,2,1,0,15
Hao Wu,0,0,0,0,0,0,0,1,0,2,3,1,0,2,2,2,2,0,15
Hongyu Zhao,0,0,0,0,0,0,0,1,0,1,4,0,0,5,0,3,1,0,15
Shaopeng Wang,0,0,0,0,0,0,0,0,1,1,1,2,3,0,4,2,1,0,15
Yong Li,0,0,0,0,0,0,0,2,3,2,1,1,1,1,3,1,0,0,15
Hong-Wen Deng,0,0,0,0,0,0,0,2,3,0,1,1,1,2,0,3,2,0,15
Liang Cheng,0,0,0,0,0,0,0,2,1,2,6,1,1,0,1,0,1,0,15
Feng Wang,0,0,0,0,0,0,1,2,3,0,3,1,0,1,1,3,0,0,15
Hui Zhang,0,0,0,0,0,0,0,2,2,2,3,1,3,1,0,0,1,0,15
David L Kaplan,0,0,0,0,0,0,0,2,0,2,0,2,0,4,1,1,2,0,14
Cheng Cui,0,0,0,0,0,0,0,0,2,2,2,4,3,1,0,0,0,0,14
Hong Jiang,0,0,0,0,0,0,0,1,2,1,2,2,3,1,2,0,0,0,14
Jin Zhang,0,0,0,0,0,0,0,2,1,1,2,1,1,0,3,2,1,0,14
Ping Li,0,0,0,0,0,0,0,3,0,0,2,0,3,2,2,2,0,0,14
Lei Guo,0,0,0,0,0,0,1,3,2,0,1,2,2,1,1,0,1,0,14
Lin Li,0,0,0,0,0,0,0,2,2,1,1,1,0,2,0,0,4,1,14
Hao Wang,0,0,0,0,0,0,1,1,1,1,0,2,1,1,4,2,0,0,14
Hao Zhang,0,0,0,0,0,0,0,2,1,0,1,2,3,3,0,2,0,0,14
Anca D Buzoianu,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,8,0,14
Leaf Huang,0,0,0,0,0,0,0,0,1,1,2,2,1,5,2,0,0,0,14
Gerald B Hammond,0,0,0,0,0,0,0,0,1,0,6,3,2,2,0,0,0,0,14
Fan Yang,0,0,0,0,0,0,0,0,1,0,1,2,1,2,3,1,3,0,14
Tao Zhang,0,0,0,0,0,0,0,0,4,0,1,0,2,2,2,0,1,2,14
Song Guo Zheng,0,0,0,0,0,0,0,0,0,0,0,7,3,3,1,0,0,0,14
Jing Sui,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,14
Yong Zhang,0,0,0,0,0,0,0,3,0,1,0,1,4,3,0,2,0,0,14
Joseph R Lakowicz,0,0,0,0,0,0,1,0,2,2,2,4,2,1,0,0,0,0,14
Hao Chen,0,0,0,0,0,0,0,1,0,0,0,1,2,3,5,1,1,0,14
Xiaofeng Yang,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,2,1,0,14
Xi Jiang,0,0,0,0,0,0,0,0,4,2,1,3,1,0,1,0,1,1,14
Douguo Zhang,0,0,0,0,0,0,0,0,2,2,2,4,2,2,0,0,0,0,14
Jing Yang,0,0,0,0,0,0,0,1,1,0,2,1,1,2,1,3,2,0,14
Xiaoming Li,0,0,0,0,0,0,0,1,1,1,0,2,3,2,1,2,1,0,14
Jian Zhang,0,0,0,0,0,0,1,3,1,0,0,3,1,0,1,4,0,0,14
Bo Jiang,0,0,0,0,0,0,0,0,2,8,1,1,0,0,1,1,0,0,14
Zhong-Lin Lu,0,0,0,0,0,0,1,2,2,0,1,0,0,5,3,0,0,0,14
Rui Wang,0,0,0,0,0,0,0,1,1,0,3,1,0,2,1,2,2,1,14
Bin Zhou,0,0,0,0,0,0,0,2,2,0,1,1,2,3,1,1,0,0,13
Guigen Li,0,0,0,0,0,0,0,1,2,8,2,0,0,0,0,0,0,0,13
Yi Lu,0,0,0,0,0,0,0,0,2,1,0,1,3,1,3,1,0,1,13
